author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305666970/;Голицыно;sale;flat;9;31;2;55.5;45900000;1954;-1;-1;-1;-1;-1;7 м²;+79660545489;Пресненский;Кудринская площадь;1;Баррикадная;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303710639/;Голицыно;sale;flat;6;6;5;155.0;95900000;1936;-1;-1;-1;-1;-1;25 м²;+79651077623;Дорогомилово;Студенческая ;32;Студенческая;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307887666/;Голицыно;sale;flat;6;19;3;153.8;108000000;2013;-1;-1;-1;-1;-1;34,7 м²;+79685198687;Раменки;Ломоносовский проспект;25к5;Университет;Dominion
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305856061/;Голицыно;sale;flat;7;7;4;260.8;130000000;1997;-1;-1;-1;-1;169,2 м²;25,4 м²;+79647926375;Раменки;Минская ;1А;Минская;Золотые Ключи 1
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305148214/;Голицыно;sale;flat;10;34;3;102.6;133000000;2023;-1;-1;-1;-1;-1;39,7 м²;+79099981206;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306453110/;Голицыно;sale;flat;24;26;5;302.0;170000000;2022;-1;-1;-1;-1;150 м²;20 м²;+79647823389;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709742/;Голицыно;sale;flat;24;25;4;300.0;169990000;2021;-1;-1;-1;-1;120 м²;25 м²;+79175836297;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303279172/;Голицыно;sale;flat;2;6;5;200.0;208000000;-1;-1;-1;-1;-1;-1;30 м²;+79057122519;Замоскворечье;Большой Ордынский переулок;4С3;Третьяковская;Собрание клубных домов ORDYNKA
Ваш Гарант офис Курортный;real_estate_agent;https://sochi.cian.ru/sale/flat/305167513/;Голицыно;sale;flat;5;5;1;42.0;7000000;2014;-1;-1;-1;-1;33 м²;7 м²;+79180303782;Центральный; Навагинская;13/1;;
Аска Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/303458810/;Голицыно;sale;flat;10;17;2;60.0;10800000;-1;-1;-1;-1;-1;40 м²;10 м²;+79884640337;Центральный;Виноградная ;195/1;;Ангара
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/306301930/;Голицыно;sale;flat;2;3;2;50.0;11200000;-1;-1;-1;-1;-1;40 м²;5 м²;+79886222755;Лазаревский;Львовская ;70Ак2;;
DealEstate;real_estate_agent;https://spb.cian.ru/sale/flat/307589645/;Голицыно;sale;flat;4;5;5;134.0;22900000;1997;-1;-1;-1;-1;66 м²;27 м²;+79819394106;Пушкинский;Малиновская ;17Б;Купчино;
DealEstate;real_estate_agent;https://spb.cian.ru/sale/flat/305153129/;Голицыно;sale;flat;19;26;3;115.0;39900000;-1;-1;-1;-1;-1;66 м²;18 м²;+79819394106;Приморский;Приморский проспект;137к1;Беговая;Золотая гавань
Оксана Гимишян;realtor;https://www.cian.ru/sale/flat/307280914/;Голицыно;sale;flat;2;12;1;38.7;15000000;1985;-1;-1;-1;-1;20,7 м²;8,3 м²;+79104029203;Раменки; Улофа Пальме;3;Минская;
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Голицыно;sale;flat;18;22;1;43.0;19200000;2022;-1;-1;-1;-1;22 м²;12 м²;+79854281089;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Голицыно;sale;flat;18;22;1;43.0;19500000;2022;-1;-1;-1;-1;24 м²;14 м²;+79854281089;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308629847/;Голицыно;sale;flat;26;41;2;46.0;21500000;-1;-1;-1;-1;-1;24 м²;17 м²;+79854281089;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299771808/;Голицыно;sale;flat;24;56;3;71.0;33500000;2024;-1;-1;-1;Без отделки;50 м²;10 м²;+79854040807;Раменки;проспект Генерала Дорохова;вл1к3;Аминьевская;Will Towers
